"id","port","protocol","official"
450,"8086/tcp",HELM?Web Host Automation Windows Control Panel,非官方
451,"8086/tcp",Kaspersky?AV Control Center TCP Port,非官方
452,"8087/tcp",Hosting Accelerator?Control Panel,非官方
453,"8087/udp",Kaspersky?AV Control Center UDP Port,非官方
454,"8087/tcp",英迈?控制面板,非官方
455,"8090/tcp",Another?超文本传输协议?Alternate (http_alt_alt) - used as an alternative to port 8080,非官方
456,"8118/tcp",Privoxy?web proxy - advertisements-filtering web proxy,官方
457,"8123/tcp",Dynmap[5]默认网页端口号(Minecraft在线地图),非官方
458,"8200/tcp",GoToMyPC,非官方
459,"8220/tcp",Bloomberg,非官方
460,"8222",VMware服务器管理用户界面(不安全网络界面)[6]。参见 8333端口,非官方
461,"8291/tcp",Winbox - Default port on a MikroTik RouterOS for a Windows application used to administer MikroTik RouterOS,非官方
462,"8294/tcp",Bloomberg,非官方
463,"8333",VMware?服务器管理用户界面（安全网络界面）[7]。参见8222端口,非官方
464,"8400",Commvault?Unified Data Management,官方
465,"8443/tcp",英迈?Control Panel,非官方
466,"8500/tcp",Adobe ColdFusion?Macromedia/Adobe ColdFusion default Webserver port,非官方
467,"8501/udp",毁灭公爵3D?- Default Online Port,官方
468,"8767/udp",TeamSpeak?- Default UDP Port,非官方
469,"8880",IBM WebSphere Application Server?简单对象访问协议?Connector port,""
470,"8881/tcp",Atlasz Informatics Research Ltd?Secure Application Server,非官方
471,"8882/tcp",Atlasz Informatics Research Ltd?Secure Application Server,非官方
472,"8888/tcp,udp",NewsEDGE?server,官方
473,"8888/tcp",Sun Answerbook?网页服务器?server (deprecated by?docs.sun.com),非官方
474,"8888/tcp",GNUmp3d?HTTP music streaming and web interface port,非官方
475,"8888/tcp",英雄大作战?Network Game Server,非官方
476,"9000/tcp",Buffalo LinkSystem web access,非官方
477,"9000/tcp",DBGp,非官方
478,"9000/udp",UDPCast,非官方
479,"9000",PHP?- php-fpm,非官方
480,"9001",cisco-xremote router configuration,非官方
481,"9001",Tor?network default port,非官方
482,"9001/tcp",DBGp?Proxy,非官方
483,"9002",Default?ElasticSearch?port,""
484,"9009/tcp,udp",Pichat Server?- Peer to peer chat software,官方
485,"9043/tcp",IBM WebSphere Application Server?Administration Console secure port,""
486,"9060/tcp",IBM WebSphere Application Server?Administration Console,""
487,"9100/tcp",Jetdirect?HP Print Services,官方
488,"9110/udp",SSMP?Message protocol,非官方
489,"9101",Bacula?Director,官方
490,"9102",Bacula?File Daemon,官方
491,"9103",Bacula?Storage Daemon,官方
492,"9119/TCP,UDP",Mxit?Instant Messenger,官方
493,"9535/tcp","man, Remote Man Server",""
494,"9535",mngsuite - Management Suite Remote Control,官方
495,"9800/tcp,udp",基于Web的分布式编写和版本控制?Source Port,官方
496,"9800",WebCT?e-learning portal,非官方
497,"9999",Hydranode?- edonkey2000 telnet control port,非官方
498,"9999",Urchin Web Analytics,非官方
499,"10000",Webmin?- web based Linux admin tool,非官方
500,"10000",BackupExec,非官方
501,"10008","Octopus Multiplexer - CROMP protocol primary port, hoople.org",官方
502,"10017","AIX,NeXT, HPUX - rexd daemon control port",非官方
503,"10024/tcp",Zimbra - smtp [mta] - to amavis from postfix,非官方
504,"10025/tcp",Ximbra - smtp [mta] - back to postfix from amavis,非官方
505,"10050/tcp",Zabbix-Agent,""
506,"10051/tcp",Zabbix-Server,""
507,"10113/tcp,udp",NetIQ Endpoint,官方
508,"10114/tcp,udp",NetIQ Qcheck,官方
509,"10115/tcp,udp",NetIQ Endpoint,官方
510,"10116/tcp,udp",NetIQ VoIP Assessor,官方
511,"10480",SWAT 4 Dedicated Server,非官方
512,"11211",Memcached,非官方
513,"11235",Savage:Battle for Newerth Server Hosting,非官方
514,"11294",Blood Quest Online Server,非官方
515,"11371",PGP?HTTP Keyserver,官方
516,"11576",IPStor?Server management communication,非官方
517,"12035/udp","《第二人生》, used for server UDP in-bound[8]",非官方
518,"12345",NetBus?- remote administration tool (often?特洛伊木马 (电脑)). Also used by?NetBuster. Little Fighter 2 (TCP).,非官方
519,"12975/tcp",LogMeIn?Hamachi?(VPN tunnel software;also port 32976),""
520,"13000-13050/udp","《第二人生》, used for server UDP in-bound[9]",非官方
521,"13720/tcp",赛门铁克?NetBackup?- bprd (formerly?VERITAS),""
522,"13721/tcp",赛门铁克?NetBackup?- bpdbm (formerly?VERITAS),""
523,"13724/tcp",赛门铁克?Network Utility - vnet (formerly?VERITAS),""
524,"13782/tcp",赛门铁克?NetBackup?- bpcd (formerly?VERITAS),""
525,"13783/tcp",赛门铁克?VOPIED protocol (formerly?VERITAS),""
526,"14567/udp",战地风云1942?and mods,非官方
527,"15000/tcp",Bounce (网络),非官方
528,"15000/tcp",韦诺之战,""
529,"15567/udp",战地风云：越南?and mods,非官方
530,"15345/udp",XPilot,官方
531,"16000/tcp",Bounce (网络),非官方
532,"16080/tcp",MacOS Server?performance cache for?超文本传输协议[10],非官方
533,"16384/udp",Iron Mountain Digital - online backup,非官方
534,"16567/udp",战地2?and mods,非官方
535,"17788/udp",PPS网络电视,非官方
536,"19132/udp",Minecraft基岩版默认服务器端口号,非官方
537,"19133/udp",Minecraft基岩版默认服务器端口号（IPv6）,非官方
538,"19226/tcp",熊猫 (消歧义)?AdminSecure Communication Agent,非官方
539,"19638/tcp",Ensim Control Panel,非官方
540,"19813/tcp","4D database Client Server Communication",非官方
541,"20000",Usermin?- 基于网络的用户工具,官方
542,"20720/tcp",Symantec i3?Web GUI server,非官方
543,"22347/tcp,udp",WibuKey - default port for WibuKey Network Server of WIBU-SYSTEMS AG,官方
544,"22350/tcp,udp",CodeMeter - default port for CodeMeter Server of WIBU-SYSTEMS AG,官方
545,"24554/tcp,udp",binkp?-?FidoNet?mail transfers over?TCP/IP协议族,官方
546,"24800",Synergy：keyboard/mouse sharing software,非官方
547,"24842",StepMania：Online：《劲爆热舞》模拟器,非官方
548,"25565/tcp",Minecraft默认服务器端口号,非官方
549,"25999/tcp",Xfire,非官方
550,"26000/tcp,udp","Id Software's 《Quake》 server,",官方
551,"26000/tcp","CCP Games's?星战前夜?Online gaming MMORPG,",非官方
552,"27000/udp",(through 27006)?Id Software's 《雷神世界》 master server,非官方
553,"27010/udp",Half-Life及其修改版，如《反恐精英系列》,非官方
554,"27015/udp",Half-Life及其修改版，如《反恐精英系列》,非官方
555,"27017/tcp",MongoDB 数据库,非官方
556,"27374",Sub7's default port. Most?脚本小子s do not change the default port.,非官方
557,"27500/udp",(through 27900)?Id Software's 《雷神世界》,非官方
558,"27888/udp",Kaillera?server,非官方
559,"27900",(through 27901)?任天堂?任天堂Wi-Fi连接,非官方
560,"27901/udp",(through 27910)?Id Software's 《雷神之锤II》 master server,非官方
561,"27960/udp",(through 27969)?动视's 《Enemy Territory》 and?Id Software's 《雷神之锤III竞技场》 and 《Quake III》 and some ioquake3 derived games,非官方
562,"28910",任天堂?任天堂Wi-Fi连接,非官方
563,"28960",决胜时刻2?Common Call of Duty 2 port - (PC Version),非官方
564,"29900",(through 29901)?任天堂?任天堂Wi-Fi连接,非官方
565,"29920",任天堂?任天堂Wi-Fi连接,非官方
566,"30000",Pokemon Netbattle,非官方
567,"30564/tcp",Multiplicity：keyboard/mouse/clipboard sharing software,非官方
568,"31337/tcp",Back Orifice?- remote administration tool（often?特洛伊木马 (电脑)）,非官方
569,"31337/tcp",xc0r3 - xc0r3 security antivir port,非官方
570,"31415",ThoughtSignal?- Server Communication Service（often?Informational）,非官方
571,"31456-31458/tcp","TetriNET?ports (in order: IRC, game, and spectating)",非官方
572,"32245/tcp",MMTSG-mutualed?over?MMT?(encrypted transmission),非官方
573,"33434",Traceroute,官方
574,"37777/tcp",Digital Video Recorder hardware,非官方
575,"36963",Counter Strike 2D?multiplayer port (2D clone of popular CounterStrike computer game),非官方
576,"40000",SafetyNET p,官方
577,"43594-43595/tcp",RuneScape,非官方
578,"47808",BACnet?Building Automation and Control Networks,官方
